DATA LOGGER INTERVAL @ 100ms,,,,,,Average Speed
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input,,2.798833333
10.8,29.246,0.4,2.793,0.4,,
10.9,-8.85,0.4,2.763,0.4,,
11,-6.5,0.4,2.773,0.4,,
11.1,-4.219,0.4,2.763,0.4,,
11.2,-1.888,0.4,2.763,0.4,,
11.3,0.393,0.4,2.783,0.4,,
11.4,2.645,0.4,2.783,0.4,,
11.5,4.927,0.4,2.793,0.4,,
11.6,6.844,0.4,2.832,0.4,,
11.7,9.106,0.4,2.783,0.4,,
11.8,10.099,0.4,2.803,0.4,,
11.9,10.099,0.4,2.812,0.4,,
12,10.099,0.4,2.822,0.4,,
12.1,1.79,0.4,2.822,0.4,,
12.2,27.21,0.4,2.812,0.4,,
12.3,27.446,0.4,2.812,0.4,,
12.4,29.216,0.4,2.832,0.4,,
12.5,-9.077,0.4,2.793,0.4,,
12.6,-6.992,0.4,2.803,0.4,,
12.7,-4.848,0.4,2.822,0.4,,
12.8,-2.645,0.4,2.783,0.4,,
12.9,-0.197,0.4,2.793,0.4,,
13,1.711,0.4,2.822,0.4,,
13.1,4.081,0.4,2.812,0.4,,
